energy;AM;N25;N50;N75;P25;P50;P75;type;food
20,78;0,361;0,03148;0,03820;0,04503;0,0026;0,00312;0,00358;0;grass
13,96;0,840;0,00996;0,01136;0,01296;0,0017;0,00215;0,00260;0;beet
23,90;0,760;0,10080;0,10410;0,10600;0,0233;0,02884;0,03530;1;vertebrates
23,90;0,760;0,08854;0,09632;0,10410;0,0091;0,01900;0,02884;2;mix (in)vertebrates
